Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
281,Paul Reed,26,DET,C,20,2,11.4,2.8,4.3,0.647,0.3,0.7,0.462,2.5,3.6,0.681,0.682,0.6,1,0.6,2,2.4,4.4,1.1,0.8,0.7,1,1.5,6.4,,reedpa01
282,Jamal Shead,23,TOR,PG,28,1,20.1,2.1,5.7,0.363,1,3.1,0.33,1,2.6,0.403,0.453,1.3,1.6,0.778,0.4,1.5,1.9,5.6,1.1,0.1,1.2,1.9,6.4,,sheadja01
283,Steven Adams,32,HOU,C,20,5,21.7,2.3,4.5,0.5,0,0,,2.3,4.5,0.5,0.5,1.8,2.5,0.714,4.6,4.1,8.7,1.6,0.8,0.7,1.1,2,6.3,,adamsst01
284,Mac McClung,27,IND,SG,3,0,11.3,2.3,6,0.389,0.7,3.3,0.2,1.7,2.7,0.625,0.444,1,1.3,0.75,0,1.3,1.3,0.3,1.7,0.3,0.7,2,6.3,,mccluma01
285,Kobe Sanders,23,LAC,SG,19,3,19.5,2.1,5,0.421,0.9,2.7,0.353,1.2,2.3,0.5,0.516,1.2,1.3,0.917,0.4,1.6,2,1.4,0.6,0.2,1.6,2.3,6.3,,sandeko01
286,Dru Smith,28,MIA,SG,27,1,17.2,2.2,5.1,0.424,0.7,2.3,0.328,1.4,2.9,0.5,0.496,1.1,1.4,0.784,0.9,1.7,2.6,2.9,1.5,0.3,0.9,1.6,6.2,,smithdr01
287,Goga Bitadze,26,ORL,C,26,0,16.8,2.4,3.4,0.708,0.1,0.3,0.25,2.3,3.1,0.753,0.719,1.2,1.5,0.789,1.8,3.3,5.1,1.4,0.7,1.3,0.6,2.1,6.1,,bitadgo01
288,Luka Garza,27,BOS,C,19,1,13.1,2.1,3.7,0.571,0.6,1.3,0.44,1.5,2.4,0.644,0.65,1.3,1.6,0.774,2,1.5,3.5,0.8,0.3,0.4,0.4,2.6,6.1,,garzalu01
289,Taurean Prince,31,MIL,SF,8,0,21.1,2.1,4.8,0.447,1.5,3.5,0.429,0.6,1.3,0.5,0.605,0.4,0.4,1,0,1.6,1.6,1,0.8,0.3,0.6,2.5,6.1,,princta02
290,Brandon Clarke,29,MEM,PF,1,1,17,2,7,0.286,0,0,,2,7,0.286,0.286,2,4,0.5,3,0,3,1,1,0,0,5,6,,clarkbr01
291,Jaxson Hayes,25,LAL,C,23,3,17.1,2.4,3.2,0.767,0,0,1,2.4,3.1,0.764,0.774,1,1.7,0.632,1.3,2.8,4.1,1,0.3,0.7,0.5,1.8,6,,hayesja02
292,Dalton Knecht,24,LAL,SF,21,1,14.6,2.3,4.9,0.466,1,2.8,0.356,1.3,2.1,0.614,0.568,0.5,0.7,0.667,0.4,1.3,1.8,0.6,0.3,0.3,0.4,1.2,6,,knechda01
293,A.J. Lawson,25,TOR,SG,2,0,8,2,5,0.4,1,2,0.5,1,3,0.333,0.5,1,1,1,0.5,2,2.5,0,0,1,0,2.5,6,,lawsoaj01
294,Drake Powell,20,BRK,SG,19,0,17.7,2.1,4.3,0.488,0.7,1.9,0.378,1.4,2.4,0.578,0.573,1.1,1.1,0.952,0.2,1.6,1.8,1.9,0.7,0.2,1.2,1.7,6,,poweldr01
295,KJ Simpson,23,CHO,PG,14,2,15.9,2.2,6.4,0.348,0.9,2.8,0.308,1.4,3.6,0.38,0.416,0.7,1.1,0.625,0.4,1.7,2.1,2.5,1.1,0,1.7,1,6,,simpskj01
296,Blake Wesley,22,POR,SG,6,0,16.3,2.3,5.7,0.412,0.3,1.7,0.2,2,4,0.5,0.441,1,1.7,0.6,0.3,2,2.3,3.2,1.7,0.2,1.2,2.3,6,,weslebl01
297,Kenrich Williams,31,OKC,PF,7,0,16,2.3,4.6,0.5,1,2.1,0.467,1.3,2.4,0.529,0.609,0.4,0.9,0.5,0.4,2.4,2.9,2,0,0,0.9,1.3,6,,willike04
298,Jaden Hardy,23,DAL,SG,21,0,10.5,1.9,4.7,0.398,1.2,2.9,0.41,0.7,1.8,0.378,0.526,0.9,1,0.818,0.2,1,1.2,0.5,0.2,0.1,0.8,1.2,5.8,,hardyja02
299,Jett Howard,22,ORL,SF,18,0,11.4,2.1,4.6,0.451,1.2,3.1,0.382,0.9,1.5,0.593,0.579,0.5,0.5,1,0.3,1.2,1.4,0.8,0.2,0.2,0.1,1,5.8,,howarje01
300,Brook Lopez,37,LAC,C,20,0,14.2,2.1,5.2,0.394,1.3,3.5,0.362,0.8,1.8,0.457,0.514,0.5,0.7,0.692,0.3,1.6,1.9,0.6,0.3,0.9,0.8,1.7,5.8,,lopezbr01
301,Jeremy Sochan,22,SAS,PF,18,0,16.2,2.4,4.8,0.5,0.4,1.4,0.28,2,3.4,0.59,0.541,0.6,0.9,0.688,1.3,2.2,3.5,1.4,0.6,0.2,0.8,2.3,5.8,,sochaje01
302,Alex Caruso,31,OKC,SG,18,0,18.6,2.1,5.1,0.418,1.1,3,0.352,1.1,2.1,0.514,0.522,0.4,0.6,0.8,0.6,2,2.6,2.5,1.9,0.3,0.9,1.3,5.7,,carusal01
303,Robert Williams,28,POR,C,17,1,15.6,2.6,3.9,0.672,0.1,0.5,0.111,2.6,3.4,0.759,0.679,0.4,0.6,0.545,2.1,3.7,5.8,0.9,0.6,1.5,0.6,1.2,5.7,,williro04
304,Justin Edwards,22,PHI,SF,22,5,16.9,2,5.4,0.373,1.1,3.5,0.329,0.9,1.9,0.452,0.479,0.5,0.5,0.909,0.6,1.2,1.9,1.5,0.6,0.3,0.8,1.8,5.6,,edwarju01
305,Mouhamed Gueye,23,ATL,PF,28,3,16.7,2.3,4.7,0.492,0.5,2,0.273,1.8,2.8,0.649,0.549,0.5,0.8,0.565,1.1,2.4,3.5,0.9,0.6,0.6,0.7,1.8,5.6,,gueyemo02
306,Al Horford,39,GSW,C,13,1,21.5,1.9,6,0.321,1.3,4.4,0.298,0.6,1.6,0.381,0.429,0.5,0.5,1,0.8,3.5,4.4,2,1,1,1.2,1.5,5.6,,horfoal01
307,Kris Murray,25,POR,SF,25,3,24.7,2.2,5,0.444,0.5,2.1,0.25,1.7,2.9,0.583,0.496,0.6,0.9,0.696,1.9,2,4,1.1,1.1,0.4,0.9,2.1,5.6,,murrakr01
308,Sidy Cissoko,21,POR,SF,22,10,20,2,4.8,0.415,1,2.8,0.339,1,2,0.523,0.514,0.6,0.9,0.684,0.8,1.4,2.2,1.4,0.5,0.2,1,2.5,5.5,,cissosi01
309,Keon Ellis,26,SAC,SG,25,2,17.6,1.9,4.8,0.395,1.2,3.5,0.356,0.6,1.3,0.5,0.525,0.5,0.9,0.591,0.3,1.1,1.4,0.8,1.4,0.4,0.5,1.8,5.5,,elliske01
310,Jaylin Williams,23,OKC,PF,25,3,18.3,1.8,5,0.355,1.2,4.1,0.294,0.6,0.9,0.636,0.476,0.8,1.2,0.655,0.5,4.2,4.7,2.4,0.7,0.5,1,1.8,5.5,,willija07
311,Lonzo Ball,28,CLE,PG,21,3,23.7,1.8,6.3,0.288,1.3,5.1,0.25,0.5,1.1,0.458,0.39,0.5,0.8,0.688,1,3.6,4.7,4.6,1.4,0.3,1.8,1.5,5.4,,balllo01
312,Taylor Hendricks,22,UTA,PF,15,3,15.3,1.9,4.2,0.444,0.8,2.1,0.387,1.1,2.1,0.5,0.54,0.9,1.2,0.722,1.3,2.3,3.6,0.6,0.4,0.3,0.5,0.9,5.4,,hendrta01
313,Bones Hyland,25,MIN,PG,18,3,11.7,1.9,3.9,0.493,0.9,2.5,0.356,1.1,1.4,0.731,0.606,0.7,0.8,0.857,0.2,1,1.2,1.8,0.4,0.1,0.9,1.5,5.4,,hylanbo01
314,Ben Saraf,19,BRK,SG,12,5,16.9,1.8,5.2,0.355,0.8,2.8,0.273,1.1,2.4,0.448,0.427,1,1.3,0.8,0.4,1.2,1.6,2.8,0.7,0.3,1.9,1.3,5.4,,sarafbe01
315,Dean Wade,29,CLE,PF,26,5,22.5,1.8,4.8,0.379,1,3.5,0.297,0.8,1.3,0.606,0.488,0.7,1,0.704,1,3,3.9,1.6,0.8,0.5,0.3,2,5.4,,wadede01
316,Mike Conley,38,MIN,PG,24,5,19.1,1.5,4.3,0.363,1.1,3,0.366,0.5,1.3,0.355,0.49,1.1,1.2,0.931,0.4,1.5,1.8,3.2,0.6,0.1,0.7,1.8,5.3,,conlemi01
317,Drew Eubanks,28,SAC,C,25,11,14.4,2.2,3.6,0.615,0,0.1,0.5,2.2,3.6,0.618,0.621,0.8,1.5,0.526,0.8,2,2.8,0.3,0.5,0.7,0.9,1.4,5.3,,eubandr01
318,Garrison Mathews,29,IND,SG,12,1,14.4,1.4,3.8,0.37,1.1,3.4,0.317,0.3,0.4,0.8,0.511,1.3,1.6,0.842,0.2,1,1.2,0.8,0.3,0.2,0.3,1.4,5.3,,mathega01
319,Yves Missi,21,NOP,C,21,6,18.2,2.3,4.2,0.557,0,0,,2.3,4.2,0.557,0.557,0.7,1.3,0.5,3.2,2.3,5.5,1.1,0.2,1.1,1,2,5.3,,missiyv01
320,Ja'Kobe Walter,21,TOR,SG,25,7,16.6,1.8,4.4,0.409,1.1,2.8,0.38,0.7,1.6,0.462,0.532,0.5,0.7,0.722,0.7,1.2,2,0.8,1,0.1,0.6,2,5.2,,walteja01
321,Jalen Wilson,25,BRK,PF,20,0,14,1.7,4.4,0.379,1.1,2.9,0.362,0.6,1.5,0.414,0.5,0.8,1.1,0.762,0.1,1,1.1,0.6,0.3,0,0.5,1.3,5.2,,wilsoja03
322,Jordan Hawkins,23,NOP,SG,22,0,14.4,1.9,5.5,0.342,1,3.1,0.333,0.8,2.3,0.353,0.438,0.4,0.5,0.667,0.4,1.3,1.6,0.9,0.1,0.1,0.5,0.6,5.1,,hawkijo01
323,Asa Newell,20,ATL,PF,18,0,9.3,1.9,3.3,0.576,0.8,1.5,0.519,1.1,1.8,0.625,0.695,0.5,0.7,0.75,0.9,0.8,1.7,0.6,0.3,0.2,0.4,1.2,5.1,,newelas01
324,Tyrese Proctor,21,CLE,PG,20,0,11.8,1.6,4.8,0.337,1,3.2,0.302,0.7,1.6,0.406,0.437,0.9,1.1,0.857,0.2,1.2,1.3,1.4,0.3,0,0.4,1.3,5.1,,proctty01
325,Justin Champagnie,24,WAS,SF,23,7,14.3,1.7,4,0.44,0.3,1.4,0.242,1.4,2.5,0.552,0.484,1.1,1.3,0.839,1.7,2.9,4.6,0.8,0.7,0.4,0.3,1.2,5,,champju01
326,Craig Porter Jr.,25,CLE,PG,25,0,16.4,2.1,3.9,0.531,0.6,1.3,0.424,1.5,2.6,0.585,0.602,0.3,0.6,0.533,1.4,1.6,3.1,2.4,1,0.6,0.8,1.2,5,,portecr01
327,Matisse Thybulle,28,POR,SG,4,0,12.3,1.5,2.5,0.6,1,1.5,0.667,0.5,1,0.5,0.8,1,1,1,0,1,1,0.8,2.5,0,0.3,1.8,5,,thybuma01
328,Branden Carlson,26,OKC,C,18,0,10.3,2.1,3.6,0.569,0.7,1.7,0.4,1.4,1.9,0.714,0.662,0.2,0.4,0.429,0.5,1.8,2.3,0.6,0.1,0.6,0.3,0.9,4.9,,carlsbr01
329,Spencer Jones,24,DEN,SF,22,11,17.5,1.9,3.3,0.569,0.7,1.7,0.421,1.1,1.5,0.735,0.681,0.5,0.7,0.625,1.1,1,2.1,0.7,0.7,0.3,0.5,2.6,4.9,,jonessp01
330,Liam McNeeley,20,CHO,SF,18,0,14.1,1.4,3.7,0.394,1,2.4,0.409,0.4,1.2,0.364,0.53,1.1,1.3,0.826,0.4,2,2.4,0.9,0.2,0.1,0.6,1.6,4.9,,mcneeli01
331,Micah Peavy,24,NOP,SG,22,1,16.1,2,5.1,0.402,0.3,1.6,0.2,1.7,3.5,0.494,0.433,0.5,0.6,0.714,1,1.4,2.5,1.1,0.6,0.1,0.4,1.7,4.9,,peavymi01
332,Terrence Shannon Jr.,25,MIN,SG,18,0,13.8,1.6,3.9,0.4,0.7,1.7,0.4,0.9,2.2,0.4,0.486,1.1,1.4,0.76,0.3,1.2,1.6,0.8,0.3,0.1,0.8,1.6,4.8,,shannte01
333,Trey Alexander,22,NOP,SG,3,0,12.3,2,3,0.667,0.7,1,0.667,1.3,2,0.667,0.778,0,0,,0,1.3,1.3,1.3,0.3,0.3,0.3,1.3,4.7,,alexatr01
334,Tony Bradley,28,IND,C,23,3,11.3,1.8,3.2,0.568,0,0,0,1.8,3.2,0.575,0.568,1,1.3,0.742,1.7,1,2.7,0.6,0.1,0.2,0.4,2,4.7,,bradlto01
335,Oso Ighodaro,23,PHO,PF,27,5,17.9,2.2,3.8,0.573,0,0,0,2.2,3.8,0.578,0.573,0.4,1,0.385,0.9,3.1,4,1.7,0.9,0.6,1.3,2.4,4.7,,ighodos01
336,Ethan Thompson,26,IND,SG,7,3,18.9,1.6,3.7,0.423,1,2.7,0.368,0.6,1,0.571,0.558,0.6,0.7,0.8,0.6,0.7,1.3,1.3,0.4,0.3,0,2.1,4.7,,thompet01
337,Gabe Vincent,29,LAL,PG,14,6,21.5,1.5,4.3,0.35,1.2,3.4,0.362,0.3,0.9,0.308,0.492,0.5,0.5,1,0.3,0.6,0.9,1.4,0.5,0.1,0.4,2.5,4.7,,vincega01
338,RayJ Dennis,24,2TM,PG,14,0,12.3,1.6,5.1,0.306,0.9,2.7,0.316,0.7,2.4,0.294,0.389,0.6,0.6,0.889,0.6,1.1,1.6,1.9,0.2,0.3,1.1,1.1,4.6,,dennira01
338,RayJ Dennis,24,IND,PG,13,0,12.9,1.7,5.5,0.306,0.9,2.9,0.316,0.8,2.6,0.294,0.389,0.6,0.7,0.889,0.6,1,1.6,2,0.2,0.3,1.1,1.2,4.9,,dennira01
338,RayJ Dennis,24,LAC,PG,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,1,0,0,,dennira01
339,Karlo Matković,24,NOP,PF,18,0,11,2.1,3,0.685,0.3,0.7,0.462,1.7,2.3,0.756,0.741,0.2,0.4,0.375,0.6,2.1,2.7,0.8,0.1,0.7,0.4,1.3,4.6,,matkoka01
340,Jeremiah Robinson-Earl,25,IND,PF,17,3,17.6,1.7,4.9,0.349,0.5,1.9,0.242,1.2,2.9,0.42,0.398,0.8,0.8,0.929,1.9,3.3,5.2,0.7,0.4,0.1,0.6,1.4,4.6,,robinje02
341,Jarred Vanderbilt,26,LAL,PF,17,2,17.6,1.6,3.7,0.429,0.4,1.1,0.316,1.2,2.6,0.477,0.476,1.1,1.2,0.857,1.8,3.9,5.6,1.4,0.9,0.4,1.4,1.8,4.6,,vandeja01
342,Jabari Walker,23,PHI,PF,24,5,13.8,1.6,3.5,0.452,0.5,1.5,0.343,1.1,2,0.531,0.524,1,1.3,0.742,1.3,2.2,3.5,0.6,0.2,0.3,0.5,1.8,4.6,,walkeja01
343,Nicolas Batum,37,LAC,PF,26,2,19.7,1.5,3.8,0.38,1.4,3.7,0.379,0.1,0.2,0.4,0.56,0.2,0.3,0.857,0.5,2.2,2.7,0.8,0.9,0.5,0.7,2,4.5,,batumni01
344,DeAndre Jordan,37,NOP,C,2,1,11.5,2,2.5,0.8,0,0,,2,2.5,0.8,0.8,0.5,1,0.5,2,3,5,0,0,0,0.5,0.5,4.5,,jordade01
345,Kelly Olynyk,34,SAS,C,14,0,11.1,1.4,2.9,0.5,0.5,1.5,0.333,0.9,1.4,0.684,0.588,1.1,1.5,0.762,0.8,1.7,2.5,1.7,0.4,0,0.8,1.6,4.5,,olynyke01
346,Cam Christie,20,LAC,SG,17,0,11.1,1.3,3.6,0.355,0.5,1.7,0.31,0.8,1.9,0.394,0.427,1.2,1.8,0.7,0.5,1.6,2.1,0.6,0.4,0.1,0.4,0.6,4.4,,chrisca02
347,Jaylen Clark,24,MIN,SG,25,0,14.7,1.6,3.7,0.419,0.6,1.9,0.319,1,1.8,0.522,0.5,0.7,1.2,0.6,1,1.1,2.1,0.5,0.8,0.1,0.4,1.7,4.4,,clarkja02
348,Ousmane Dieng,22,OKC,C,17,0,12.5,1.6,3.6,0.443,0.8,1.9,0.438,0.8,1.7,0.448,0.557,0.4,0.4,1,0.4,1.4,1.8,0.9,0.1,0.3,0.4,1.1,4.4,,diengou01
349,Will Riley,19,WAS,SF,19,0,11.8,1.6,3.5,0.463,0.3,1.1,0.238,1.4,2.4,0.565,0.5,0.9,1.2,0.773,0.7,1,1.7,1.1,0.4,0.1,0.7,0.7,4.4,,rileywi01
350,Nique Clifford,23,SAC,SG,23,3,16.7,1.6,4.2,0.385,0.5,1.8,0.268,1.1,2.4,0.473,0.443,0.6,0.9,0.7,0.6,2,2.5,1.3,0.4,0.3,0.9,2.1,4.3,,cliffni01
351,Pat Connaughton,33,CHO,SG,12,0,9.7,1.5,3.1,0.486,0.8,2,0.375,0.8,1.1,0.692,0.608,0.5,0.8,0.667,0.3,1.6,1.9,0.6,0.4,0.1,0.3,0.4,4.3,,connapa01
352,Josh Green,25,CHO,SG,3,0,14.3,1.7,3.3,0.5,1,2.7,0.375,0.7,0.7,1,0.65,0,0,,0.7,1,1.7,0.7,0.7,0,0,1.7,4.3,,greenjo02
353,Trayce Jackson-Davis,25,GSW,C,18,1,12.7,1.7,2.9,0.566,0,0,,1.7,2.9,0.566,0.566,1,1.6,0.643,1.5,2,3.5,1.3,0.3,0.7,0.5,1.3,4.3,,jackstr02
354,Dereck Lively II,21,DAL,C,7,4,16.4,1.6,2.6,0.611,0,0,,1.6,2.6,0.611,0.611,1.1,1.4,0.8,2,3.3,5.3,1.9,0.6,1.6,1.4,3,4.3,,livelde01
355,Javon Small,23,MEM,PG,8,0,12.4,1.3,3.5,0.357,0.8,2.4,0.316,0.5,1.1,0.444,0.464,1,1.3,0.8,0.1,0.9,1,2.8,0,0.1,1,0.9,4.3,,smallja01
356,Eric Gordon,37,PHI,SG,5,0,11.4,1.6,2.6,0.615,1,1.6,0.625,0.6,1,0.6,0.808,0,0,,0.2,0.2,0.4,0.6,0.6,0,0.6,0.4,4.2,,gordoer01
357,Tyler Kolek,24,NYK,PG,22,0,10.9,1.7,3.5,0.494,0.5,1.6,0.314,1.2,1.9,0.643,0.565,0.2,0.4,0.625,0.3,0.9,1.2,2.4,0.5,0.1,0.7,1,4.2,,kolekty01
358,Keaton Wallace,26,ATL,PG,25,2,14,1.5,3.8,0.396,1,2.4,0.41,0.5,1.4,0.371,0.526,0.2,0.4,0.5,0,1.4,1.5,2.6,0.6,0.2,0.7,1.3,4.2,,wallake01
359,Jase Richardson,20,ORL,SG,16,0,7.5,1.5,2.9,0.511,0.6,1.3,0.45,0.9,1.7,0.556,0.606,0.5,0.7,0.727,0.3,0.6,0.9,1.1,0.3,0,0.4,0.6,4.1,,richaja02
360,Olivier-Maxence Prosper,23,MEM,PF,15,0,9.3,1.2,2.8,0.429,0.1,0.7,0.091,1.1,2.1,0.548,0.44,1.5,1.7,0.92,0.8,1.5,2.3,0.5,0.1,0.1,0.5,0.7,4,,prospol01
361,James Wiseman,24,IND,C,1,1,20,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,4,0,4,0,0,1,3,2,4,,wisemja01
362,Ochai Agbaji,25,TOR,SG,20,4,15.3,1.6,3.8,0.408,0.3,1.3,0.192,1.3,2.5,0.52,0.441,0.5,0.7,0.769,0.5,1.7,2.2,0.8,0.5,0.3,0.3,2,3.9,,agbajoc01
363,Kobe Brown,26,LAC,PF,18,0,12.3,1.3,3.4,0.377,0.6,2.3,0.244,0.7,1.1,0.65,0.459,0.8,0.9,0.875,0.6,1.6,2.2,1,0.4,0.1,0.6,0.6,3.9,,brownko01
364,Rob Dillingham,21,MIN,PG,24,0,10.5,1.6,4.4,0.362,0.3,1,0.304,1.3,3.4,0.378,0.395,0.4,0.6,0.714,0.2,0.9,1.1,1.9,0.7,0.1,1,1.1,3.9,,dilliro01
365,Keshad Johnson,24,MIA,SF,10,0,11.9,1.3,3.8,0.342,0.4,1.6,0.25,0.9,2.2,0.409,0.395,0.9,1.3,0.692,1.1,1.9,3,0.1,0.5,0.4,0.3,1,3.9,,johnske10
366,Thomas Bryant,28,CLE,C,21,0,8.6,1.3,3,0.444,0.3,1.4,0.233,1,1.6,0.636,0.5,0.8,1,0.8,0.6,2,2.5,0.2,0.2,0.3,0.4,1.1,3.8,,bryanth01
367,Jamison Battle,24,TOR,SF,18,1,7.9,1.4,2.2,0.641,0.7,1.3,0.542,0.7,0.8,0.8,0.808,0.2,0.3,0.8,0.2,1.2,1.4,0.3,0.1,0.1,0.4,0.7,3.7,,battlja01
368,Clint Capela,31,HOU,C,23,1,11.2,1.6,2.8,0.563,0,0,,1.6,2.8,0.563,0.563,0.5,0.8,0.632,2.5,2,4.6,0.4,0.4,0.7,0.5,1,3.7,,capelca01
369,Gary Payton II,33,GSW,SG,26,1,11.6,1.7,3.5,0.478,0.3,1.1,0.276,1.3,2.3,0.574,0.522,0.1,0.1,1,0.9,2,2.9,1.5,0.6,0.2,0.7,1.4,3.7,,paytoga02
370,Malaki Branham,22,WAS,SG,11,0,8,1,2.5,0.393,0.2,1,0.182,0.8,1.5,0.529,0.429,1.5,1.8,0.8,0.5,1.2,1.6,0.9,0.2,0.1,0.5,0.5,3.6,,branhma01
371,Devin Carter,23,SAC,PG,9,0,9.6,1.1,3.4,0.323,0.6,1.9,0.294,0.6,1.6,0.357,0.403,0.8,0.8,1,0.4,1,1.4,1.4,0.7,0.1,0.9,1,3.6,,cartede02
372,Hugo González,19,BOS,SF,21,1,11.8,1.5,2.9,0.517,0.5,1.1,0.478,1,1.8,0.541,0.608,0.1,0.3,0.429,0.7,1.5,2.2,0.5,0.7,0.1,0.6,1.8,3.6,,gonzahu01
373,Larry Nance Jr.,33,CLE,PF,16,2,15,1.4,4.1,0.354,0.6,2.1,0.303,0.8,2,0.406,0.431,0.1,0.2,0.333,0.8,2,2.8,1.3,0.6,0.3,0.6,2.4,3.6,,nancela02
374,Noah Penda,21,ORL,SF,14,0,8.9,1.3,2.6,0.486,0.5,0.8,0.636,0.8,1.9,0.423,0.581,0.5,0.9,0.538,1.6,1.8,3.4,1,0.1,0.2,0.6,0.9,3.6,,pendano01
375,Duop Reath,29,POR,C,21,0,8.2,1.3,2.5,0.509,0.9,1.8,0.5,0.4,0.7,0.533,0.689,0.1,0.1,0.667,0.2,0.7,0.9,0.3,0.1,0.1,0.3,0.9,3.6,,reathdu01
376,Mitchell Robinson,27,NYK,C,17,10,17.5,1.6,2.4,0.683,0,0,,1.6,2.4,0.683,0.683,0.4,1.6,0.222,4.5,3.7,8.2,1,0.8,1.1,0.8,2.2,3.6,,robinmi01
377,Charles Bassey,25,MEM,C,2,0,15.5,1.5,4,0.375,0,0,,1.5,4,0.375,0.375,0.5,1.5,0.333,3.5,4,7.5,1,0.5,0.5,0.5,2.5,3.5,,bassech01
378,Adem Bona,22,PHI,C,17,3,16.1,1.3,2.4,0.55,0.1,0.2,0.333,1.2,2.2,0.568,0.563,0.8,1.4,0.583,1.5,2.2,3.7,0.2,0.4,1.5,0.7,1.9,3.5,,bonaad01
379,Antonio Reeves,25,CHO,SG,6,0,8.8,1.3,2.7,0.5,0.8,1.7,0.5,0.5,1,0.5,0.656,0,0,,0.2,0.7,0.8,0.3,0.2,0,0,0.5,3.5,,reevean01
380,Julian Strawther,23,DEN,SG,10,0,7.7,1.2,3.1,0.387,0.2,1.6,0.125,1,1.5,0.667,0.419,0.9,1.3,0.692,0,1.4,1.4,0.4,0,0.1,0.3,0.6,3.5,,strawju01
381,Nick Richards,28,PHO,C,24,2,9.4,1.3,2.5,0.517,0,0,,1.3,2.5,0.517,0.517,0.8,1.2,0.679,1.2,2,3.3,0.3,0.1,0.5,1,1.4,3.4,,richani01
382,Jamir Watkins,24,WAS,SG,10,1,12,1.3,2.2,0.591,0.4,1.1,0.364,0.9,1.1,0.818,0.682,0.4,0.4,1,0.5,1.9,2.4,0.4,0.1,0.3,0.4,1.9,3.4,,watkija01
383,Dylan Cardwell,24,SAC,C,4,1,12.3,1.3,2.3,0.556,0,0.3,0,1.3,2,0.625,0.556,0.8,1.5,0.5,1.3,1.8,3,0.3,0.5,1.5,0.8,3.3,3.3,,cardwdy01
384,Chaz Lanier,24,DET,SG,13,0,10.2,1.1,3.2,0.333,0.9,2.8,0.324,0.2,0.4,0.4,0.476,0.2,0.2,1,0.5,0.6,1.1,0.8,0.3,0,0.1,0.2,3.3,,laniech01
385,Gui Santos,23,GSW,PF,21,1,9.2,1.1,2.7,0.421,0.5,1.7,0.314,0.6,1,0.591,0.518,0.5,0.8,0.688,0.8,1.2,2,0.7,0.2,0.1,0.8,1.3,3.3,,santogu01
386,David Jones García,24,SAS,SF,10,0,6.7,1.3,2.5,0.52,0.3,0.5,0.6,1,2,0.5,0.58,0.3,0.6,0.5,0.4,0.8,1.2,1.8,0.6,0.1,0.5,0.6,3.2,,jonesda06
387,Jalen Pickett,26,DEN,SG,12,1,10.1,1.2,2.7,0.438,0.8,1.8,0.429,0.4,0.9,0.455,0.578,0.1,0.1,1,0.3,1.3,1.6,1.8,0.3,0,0.5,0.5,3.2,,pickeja02
388,Dalen Terry,23,CHI,SG,16,0,10.8,1.4,2.7,0.512,0.3,0.9,0.267,1.1,1.8,0.643,0.558,0.2,0.4,0.429,0.6,1.1,1.8,1.3,0.7,0.3,0.7,1.1,3.2,,terryda01
389,Moussa Cisse,23,DAL,C,19,1,10.2,1.2,2,0.605,0,0,,1.2,2,0.605,0.605,0.7,1.6,0.419,1.5,2.1,3.5,0.2,0.3,1.1,0.7,1.6,3.1,,cissemo01
390,Baylor Scheierman,25,BOS,SG,22,0,12,1.1,2.2,0.521,0.8,1.7,0.447,0.4,0.5,0.8,0.698,0,0,1,0.4,1.4,1.8,0.7,0.5,0.1,0.4,1.4,3.1,,scheiba01
391,Mark Sears,23,MIL,PG,7,0,3.7,0.9,1.9,0.462,0.6,1.1,0.5,0.3,0.7,0.4,0.615,0.9,1.1,0.75,0.1,0.1,0.3,0.3,0,0,0.6,0.6,3.1,,searsma01
392,John Konchar,29,MEM,SG,22,0,13,1.2,2.3,0.51,0.4,1.3,0.321,0.8,1,0.739,0.598,0.3,0.4,0.667,0.5,2.1,2.7,1.2,0.9,0.3,0.3,0.9,3,,konchjo01
393,Chris Livingston,22,CLE,SF,3,0,5.7,1.3,2.3,0.571,0,1,0,1.3,1.3,1,0.571,0.3,0.3,1,0,1,1,0.3,0.3,0,0,1.3,3,,livinch01
394,Doug McDermott,34,SAC,SF,2,0,5.5,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,0,0,0,0,0,0.5,1,3,,mcderdo01
395,Emanuel Miller,25,CHI,PF,5,0,6.6,1.2,2.6,0.462,0.4,1.2,0.333,0.8,1.4,0.571,0.538,0.2,0.4,0.5,0.2,0.4,0.6,0.8,0.4,0,0,0.4,3,,milleem01
396,Riley Minix,25,SAS,SF,3,0,2.7,1.3,2,0.667,0.3,1,0.333,1,1,1,0.75,0,0,,0.3,0.3,0.7,0.3,0.3,0,0,0.3,3,,minixri01
397,Monte Morris,30,IND,PG,6,0,10.8,1.2,3.3,0.35,0.3,1.3,0.25,0.8,2,0.417,0.4,0.3,0.7,0.5,0.2,1,1.2,1.5,0.2,0.2,0.3,0.5,3,,morrimo01
398,Jericho Sims,27,MIL,C,22,4,15.4,1.4,1.7,0.811,0,0,,1.4,1.7,0.811,0.811,0.3,0.4,0.667,1.5,2.4,3.9,0.7,0.2,0.2,1,1.6,3,,simsje01
