Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team,SourceTable,Trp-Dbl,Awards
10.0,Christian Wood,28.0,50,1,872,123,264,0.466,35,114,0.307,88,150,0.587,0.532,66,94,0.702,39,215,254,49,16,33,50,72,347,Los Angeles Lakers,totals,0,
11.0,Spencer Dinwiddie,30.0,28,4,678,56,141,0.397,35,90,0.389,21,51,0.412,0.521,44,50,0.88,4,43,47,68,13,13,29,52,191,Los Angeles Lakers,totals,0,
12.0,Jarred Vanderbilt,24.0,29,6,581,59,114,0.518,8,27,0.296,51,87,0.586,0.553,24,36,0.667,41,97,138,36,36,5,28,43,150,Los Angeles Lakers,totals,0,
13.0,Gabe Vincent,27.0,11,0,218,15,49,0.306,3,28,0.107,12,21,0.571,0.337,1,2,0.5,4,5,9,21,9,0,5,19,34,Los Angeles Lakers,totals,0,
14.0,Jalen Hood-Schifino,20.0,21,0,109,10,45,0.222,2,15,0.133,8,30,0.267,0.244,12,20,0.6,2,11,13,8,3,2,9,13,34,Los Angeles Lakers,totals,0,
15.0,Maxwell Lewis,21.0,34,0,103,4,21,0.19,1,9,0.111,3,12,0.25,0.214,2,3,0.667,2,2,4,6,2,1,10,5,11,Los Angeles Lakers,totals,0,
16.0,Skylar Mays,26.0,17,0,77,10,21,0.476,2,5,0.4,8,16,0.5,0.524,0,0,,1,5,6,10,7,1,2,6,22,Los Angeles Lakers,totals,0,
17.0,Colin Castleton,23.0,16,0,59,9,16,0.563,0,0,,9,16,0.563,0.563,6,6,1.0,6,6,12,3,2,0,3,11,24,Los Angeles Lakers,totals,0,
18.0,D'Moi Hodge,25.0,7,0,41,5,15,0.333,3,12,0.25,2,3,0.667,0.433,1,2,0.5,0,0,0,5,1,1,1,4,14,Los Angeles Lakers,totals,0,
19.0,Dylan Windler,27.0,8,0,28,4,9,0.444,4,8,0.5,0,1,0.0,0.667,0,0,,0,3,3,6,0,0,0,2,12,Los Angeles Lakers,totals,0,
20.0,Harry Giles,25.0,7,0,19,1,6,0.167,0,3,0.0,1,3,0.333,0.167,0,0,,0,4,4,0,1,0,0,0,2,Los Angeles Lakers,totals,0,
21.0,Alex Fudge,20.0,4,0,14,1,6,0.167,0,2,0.0,1,4,0.25,0.167,2,2,1.0,2,0,2,0,0,0,1,1,4,Los Angeles Lakers,totals,0,
,Team Totals,,82,82,19855,3580,7177,0.499,969,2572,0.377,2611,4605,0.567,0.566,1550,1983,0.782,676,2859,3535,2340,605,453,1100,1283,9679,Los Angeles Lakers,totals,8,
1.0,Domantas Sabonis,27.0,82,82,2928,634,1068,0.594,33,87,0.379,601,981,0.613,0.609,292,415,0.704,294,826,1120,673,74,48,272,250,1593,Sacramento Kings,totals,26,"MVP-8,DPOY-10,NBA3"
