Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team,SourceTable,Trp-Dbl,Awards
16.0,Johnny Juzang,22.0,20,5,372,51,110,0.464,32,77,0.416,19,33,0.576,0.609,10,14,0.714,7,29,36,23,4,2,13,29,144,Utah Jazz,totals,0,
17.0,Micah Potter,25.0,16,0,186,19,40,0.475,9,21,0.429,10,19,0.526,0.588,6,8,0.75,10,33,43,6,4,6,5,14,53,Utah Jazz,totals,0,
18.0,Darius Bazley,23.0,6,0,142,18,29,0.621,2,8,0.25,16,21,0.762,0.655,10,12,0.833,8,19,27,5,6,7,7,3,48,Utah Jazz,totals,0,
19.0,Kira Lewis Jr.,22.0,12,0,119,18,40,0.45,2,13,0.154,16,27,0.593,0.475,7,9,0.778,5,7,12,19,4,1,6,4,45,Utah Jazz,totals,0,
20.0,Kenneth Lofton Jr.,21.0,4,0,91,21,35,0.6,4,12,0.333,17,23,0.739,0.657,9,11,0.818,10,10,20,19,3,2,6,9,55,Utah Jazz,totals,0,
21.0,Jason Preston,24.0,7,0,71,6,19,0.316,0,3,0.0,6,16,0.375,0.316,0,0,,6,11,17,16,2,1,2,3,12,Utah Jazz,totals,0,
,Team Totals,,82,82,19804,3443,7371,0.467,1060,2993,0.354,2383,4378,0.544,0.539,1538,1853,0.83,1002,2725,3727,2232,537,458,1228,1523,9484,Utah Jazz,totals,1,
1.0,Jaren Jackson Jr.,24.0,66,66,2124,516,1162,0.444,117,366,0.32,399,796,0.501,0.494,337,417,0.808,85,280,365,154,80,106,160,235,1486,Memphis Grizzlies,totals,0,
2.0,Santi Aldama,23.0,61,35,1618,247,568,0.435,106,304,0.349,141,264,0.534,0.528,54,87,0.621,72,280,352,138,43,54,69,89,654,Memphis Grizzlies,totals,0,
3.0,Desmond Bane,25.0,42,42,1443,360,776,0.464,137,360,0.381,223,416,0.536,0.552,140,161,0.87,36,149,185,230,43,22,112,120,997,Memphis Grizzlies,totals,0,
4.0,Vince Williams Jr.,23.0,52,33,1436,169,379,0.446,79,209,0.378,90,170,0.529,0.55,104,130,0.8,59,231,290,175,47,34,92,135,521,Memphis Grizzlies,totals,0,
5.0,GG Jackson II,19.0,48,18,1233,241,563,0.428,102,286,0.357,139,277,0.502,0.519,115,153,0.752,53,143,196,59,28,24,65,64,699,Memphis Grizzlies,totals,0,
6.0,John Konchar,27.0,55,23,1173,88,208,0.423,38,120,0.317,50,88,0.568,0.514,21,25,0.84,72,185,257,110,51,51,46,76,235,Memphis Grizzlies,totals,0,
7.0,David Roddy,22.0,48,13,1114,155,386,0.402,47,156,0.301,108,230,0.47,0.462,46,67,0.687,51,149,200,76,25,11,54,68,403,Memphis Grizzlies,totals,0,
8.0,Ziaire Williams,22.0,51,15,1038,150,378,0.397,58,189,0.307,92,189,0.487,0.474,62,75,0.827,35,145,180,75,36,9,66,85,420,Memphis Grizzlies,totals,0,
9.0,Luke Kennard,27.0,39,22,999,141,315,0.448,107,238,0.45,34,77,0.442,0.617,40,45,0.889,11,102,113,136,20,2,54,39,429,Memphis Grizzlies,totals,0,
10.0,Jake LaRavia,22.0,35,6,806,118,303,0.389,53,156,0.34,65,147,0.442,0.477,90,109,0.826,51,77,128,58,29,12,45,69,379,Memphis Grizzlies,totals,0,
11.0,Bismack Biyombo,31.0,30,27,718,67,119,0.563,0,0,,67,119,0.563,0.563,22,46,0.478,57,134,191,51,10,34,38,82,156,Memphis Grizzlies,totals,0,
12.0,Xavier Tillman Sr.,25.0,34,13,700,87,213,0.408,12,53,0.226,75,160,0.469,0.437,18,43,0.419,56,101,157,57,42,35,29,60,204,Memphis Grizzlies,totals,0,
13.0,Jacob Gilyard,25.0,37,14,654,60,144,0.417,51,120,0.425,9,24,0.375,0.594,2,2,1.0,8,35,43,131,27,5,29,35,173,Memphis Grizzlies,totals,0,
14.0,Marcus Smart,29.0,20,20,605,102,237,0.43,42,134,0.313,60,103,0.583,0.519,43,56,0.768,6,47,53,86,41,5,62,53,289,Memphis Grizzlies,totals,0,
15.0,Trey Jemison,24.0,23,14,572,75,136,0.551,0,0,,75,136,0.551,0.551,21,25,0.84,64,69,133,27,12,28,33,69,171,Memphis Grizzlies,totals,0,
16.0,Scotty Pippen Jr.,23.0,21,16,527,100,203,0.493,30,72,0.417,70,131,0.534,0.567,41,55,0.745,22,45,67,98,36,10,56,60,271,Memphis Grizzlies,totals,0,
17.0,Jordan Goodwin,25.0,17,12,497,66,189,0.349,19,61,0.311,47,128,0.367,0.399,19,30,0.633,48,88,136,77,25,9,27,33,170,Memphis Grizzlies,totals,0,
18.0,Lamar Stevens,26.0,19,2,437,87,195,0.446,11,38,0.289,76,157,0.484,0.474,34,43,0.791,24,72,96,20,17,17,15,31,219,Memphis Grizzlies,totals,0,
19.0,Derrick Rose,35.0,24,7,399,76,165,0.461,15,41,0.366,61,124,0.492,0.506,24,27,0.889,7,38,45,78,8,2,31,21,191,Memphis Grizzlies,totals,0,
20.0,Ja Morant,24.0,9,9,318,80,170,0.471,14,51,0.275,66,119,0.555,0.512,52,64,0.813,6,44,50,73,7,5,27,19,226,Memphis Grizzlies,totals,0,
21.0,Zavier Simpson,26.0,7,0,161,17,54,0.315,5,17,0.294,12,37,0.324,0.361,3,4,0.75,4,16,20,25,7,3,10,11,42,Memphis Grizzlies,totals,0,
22.0,Jaylen Nowell,24.0,9,1,156,22,55,0.4,4,23,0.174,18,32,0.563,0.436,3,3,1.0,3,11,14,16,3,0,5,13,51,Memphis Grizzlies,totals,0,
23.0,DeJon Jarreau,26.0,9,0,150,17,50,0.34,4,13,0.308,13,37,0.351,0.38,5,11,0.455,8,36,44,26,6,2,9,14,43,Memphis Grizzlies,totals,0,
24.0,Brandon Clarke,27.0,6,1,134,33,59,0.559,1,6,0.167,32,53,0.604,0.568,1,7,0.143,13,19,32,9,5,6,3,8,68,Memphis Grizzlies,totals,0,
25.0,Timmy Allen,24.0,5,0,125,6,23,0.261,0,7,0.0,6,16,0.375,0.261,1,2,0.5,4,13,17,5,4,0,2,18,13,Memphis Grizzlies,totals,0,
26.0,Ṃozinha Pereira,23.0,7,1,122,18,35,0.514,5,13,0.385,13,22,0.591,0.586,7,10,0.7,11,26,37,2,6,4,5,10,48,Memphis Grizzlies,totals,0,
27.0,Matthew Hurt,23.0,8,0,113,12,34,0.353,5,20,0.25,7,14,0.5,0.426,3,3,1.0,9,7,16,4,3,3,2,8,32,Memphis Grizzlies,totals,0,
28.0,Kenneth Lofton Jr.,21.0,15,0,99,14,37,0.378,3,10,0.3,11,27,0.407,0.419,8,15,0.533,2,13,15,14,3,3,6,15,39,Memphis Grizzlies,totals,0,
29.0,Yuta Watanabe,29.0,5,0,82,6,19,0.316,1,10,0.1,5,9,0.556,0.342,0,2,0.0,0,9,9,5,3,0,3,5,13,Memphis Grizzlies,totals,0,
30.0,Wenyen Gabriel,26.0,5,0,81,8,22,0.364,1,6,0.167,7,16,0.438,0.386,0,5,0.0,7,18,25,3,2,2,8,10,17,Memphis Grizzlies,totals,0,
31.0,Tosan Evbuomwan,22.0,4,0,74,4,15,0.267,2,8,0.25,2,7,0.286,0.333,0,0,,8,6,14,6,0,1,1,5,10,Memphis Grizzlies,totals,0,
32.0,Jack White,26.0,4,0,64,2,16,0.125,2,10,0.2,0,6,0.0,0.188,0,0,,4,8,12,1,4,1,2,3,6,Memphis Grizzlies,totals,0,
33.0,Shaquille Harrison,30.0,3,0,6,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,2,2,0,0,1,0,0,2,Memphis Grizzlies,totals,0,
,Team Totals,,82,82,19778,3145,7230,0.435,1071,3097,0.346,2074,4133,0.502,0.509,1316,1722,0.764,896,2598,3494,2025,673,501,1166,1563,8677,Memphis Grizzlies,totals,0,
1.0,Devin Vassell,23.0,68,62,2248,498,1056,0.472,166,446,0.372,332,610,0.544,0.55,161,201,0.801,27,234,261,277,73,23,108,74,1323,San Antonio Spurs,totals,0,
2.0,Jeremy Sochan,20.0,74,73,2193,340,776,0.438,70,227,0.308,270,549,0.492,0.483,111,144,0.771,137,339,476,249,62,40,140,168,861,San Antonio Spurs,totals,0,
3.0,Tre Jones,24.0,77,48,2138,303,600,0.505,64,191,0.335,239,409,0.584,0.558,101,118,0.856,58,231,289,478,78,9,116,92,771,San Antonio Spurs,totals,1,
4.0,Victor Wembanyama,20.0,71,71,2106,551,1186,0.465,128,394,0.325,423,792,0.534,0.519,292,367,0.796,161,594,755,274,88,254,260,153,1522,San Antonio Spurs,totals,2,"ROY-1,DPOY-2,DEF1"
5.0,Keldon Johnson,24.0,69,27,2038,391,862,0.454,127,367,0.346,264,495,0.533,0.527,175,221,0.792,95,282,377,195,51,20,100,149,1084,San Antonio Spurs,totals,0,
6.0,Malaki Branham,20.0,75,29,1594,271,628,0.432,93,268,0.347,178,360,0.494,0.506,55,63,0.873,28,120,148,156,27,8,91,94,690,San Antonio Spurs,totals,0,
7.0,Zach Collins,26.0,69,29,1526,298,616,0.484,58,181,0.32,240,435,0.552,0.531,122,162,0.753,118,252,370,194,34,52,132,206,776,San Antonio Spurs,totals,0,
8.0,Julian Champagnie,22.0,74,59,1468,164,402,0.408,101,277,0.365,63,125,0.504,0.534,75,92,0.815,42,164,206,103,48,42,57,77,504,San Antonio Spurs,totals,0,
9.0,Cedi Osman,28.0,72,3,1269,184,384,0.479,86,221,0.389,98,163,0.601,0.591,35,52,0.673,25,155,180,119,36,11,47,107,489,San Antonio Spurs,totals,0,
10.0,Blake Wesley,20.0,61,3,876,102,215,0.474,12,55,0.218,90,160,0.563,0.502,52,78,0.667,18,76,94,166,29,9,55,89,268,San Antonio Spurs,totals,0,
11.0,Doug McDermott,32.0,46,0,700,95,215,0.442,76,173,0.439,19,42,0.452,0.619,10,17,0.588,8,40,48,57,11,2,24,48,276,San Antonio Spurs,totals,0,
12.0,Sandro Mamukelashvili,24.0,46,5,451,73,155,0.471,19,64,0.297,54,91,0.593,0.532,25,34,0.735,45,102,147,49,7,12,19,35,190,San Antonio Spurs,totals,0,
13.0,Dominick Barlow,20.0,33,1,420,56,113,0.496,3,9,0.333,53,104,0.51,0.509,29,42,0.69,45,68,113,36,12,14,9,47,144,San Antonio Spurs,totals,0,
14.0,Devonte' Graham,28.0,23,0,313,38,108,0.352,25,83,0.301,13,25,0.52,0.468,13,16,0.813,5,31,36,49,9,2,17,14,114,San Antonio Spurs,totals,0,
15.0,Charles Bassey,23.0,19,0,205,29,40,0.725,0,1,0.0,29,39,0.744,0.725,5,6,0.833,23,53,76,21,8,17,15,31,63,San Antonio Spurs,totals,0,
16.0,Sidy Cissoko,19.0,12,0,141,16,33,0.485,1,12,0.083,15,21,0.714,0.5,12,15,0.8,8,14,22,10,7,3,3,18,45,San Antonio Spurs,totals,0,
17.0,David Duke Jr.,24.0,4,0,51,10,18,0.556,3,6,0.5,7,12,0.583,0.639,3,3,1.0,2,8,10,5,2,0,3,4,26,San Antonio Spurs,totals,0,
18.0,RaiQuan Gray,24.0,3,0,39,10,17,0.588,3,7,0.429,7,10,0.7,0.676,0,0,,2,5,7,6,1,1,1,0,23,San Antonio Spurs,totals,0,
19.0,Jamaree Bouyea,24.0,3,0,38,5,7,0.714,1,1,1.0,4,6,0.667,0.786,0,0,,1,8,9,3,1,0,1,7,11,San Antonio Spurs,totals,0,
20.0,Mamadi Diakite,27.0,3,0,16,4,5,0.8,0,0,,4,5,0.8,0.8,4,6,0.667,1,2,3,2,0,1,0,1,12,San Antonio Spurs,totals,0,
,Team Totals,,82,82,19830,3438,7436,0.462,1036,2983,0.347,2402,4453,0.539,0.532,1280,1637,0.782,849,2778,3627,2449,584,520,1198,1414,9192,San Antonio Spurs,totals,3,
1.0,Jerami Grant,29.0,54,54,1830,383,850,0.451,111,276,0.402,272,574,0.474,0.516,255,312,0.817,37,154,191,152,45,34,116,117,1132,Portland Trail Blazers,totals,0,
2.0,Deandre Ayton,25.0,55,55,1784,427,749,0.57,1,10,0.1,426,739,0.576,0.571,65,79,0.823,176,433,609,90,56,42,99,109,920,Portland Trail Blazers,totals,0,
3.0,Scoot Henderson,19.0,62,32,1765,307,797,0.385,87,268,0.325,220,529,0.416,0.44,167,204,0.819,53,141,194,336,48,13,212,195,868,Portland Trail Blazers,totals,0,
4.0,Toumani Camara,23.0,70,49,1739,197,438,0.45,58,172,0.337,139,266,0.523,0.516,75,99,0.758,139,204,343,87,66,33,84,174,527,Portland Trail Blazers,totals,0,
5.0,Jabari Walker,21.0,72,23,1700,234,509,0.46,41,139,0.295,193,370,0.522,0.5,129,171,0.754,151,357,508,71,42,22,66,173,638,Portland Trail Blazers,totals,0,
6.0,Anfernee Simons,24.0,46,46,1582,360,837,0.43,156,405,0.385,204,432,0.472,0.523,163,178,0.916,22,145,167,255,23,5,126,98,1039,Portland Trail Blazers,totals,0,
7.0,Matisse Thybulle,26.0,65,19,1487,126,317,0.397,80,231,0.346,46,86,0.535,0.524,22,29,0.759,30,106,136,90,113,49,40,93,354,Portland Trail Blazers,totals,0,
8.0,Kris Murray,23.0,62,29,1348,145,366,0.396,49,183,0.268,96,183,0.525,0.463,37,56,0.661,85,139,224,80,53,21,55,92,376,Portland Trail Blazers,totals,0,
9.0,Duop Reath,27.0,68,20,1214,230,499,0.461,88,245,0.359,142,254,0.559,0.549,69,93,0.742,93,157,250,67,33,38,52,161,617,Portland Trail Blazers,totals,0,
10.0,Malcolm Brogdon,31.0,39,25,1121,218,496,0.44,82,199,0.412,136,297,0.458,0.522,95,116,0.819,28,120,148,214,27,8,60,58,613,Portland Trail Blazers,totals,0,
11.0,Shaedon Sharpe,20.0,32,25,1059,176,434,0.406,60,180,0.333,116,254,0.457,0.475,98,119,0.824,42,118,160,94,28,12,72,88,510,Portland Trail Blazers,totals,0,
12.0,Dalano Banton,24.0,30,8,876,183,449,0.408,57,183,0.311,126,266,0.474,0.471,78,100,0.78,29,114,143,108,28,17,67,44,501,Portland Trail Blazers,totals,0,
13.0,Rayan Rupert,19.0,39,12,633,54,161,0.335,28,78,0.359,26,83,0.313,0.422,19,25,0.76,24,68,92,62,12,3,31,56,155,Portland Trail Blazers,totals,0,
14.0,Justin Minaya,24.0,34,1,381,22,74,0.297,12,49,0.245,10,25,0.4,0.378,5,9,0.556,30,26,56,21,9,10,9,35,61,Portland Trail Blazers,totals,0,
15.0,Skylar Mays,26.0,21,5,356,53,138,0.384,14,49,0.286,39,89,0.438,0.435,13,17,0.765,9,28,37,75,14,3,18,20,133,Portland Trail Blazers,totals,0,
16.0,Ashton Hagans,24.0,19,1,316,29,71,0.408,8,25,0.32,21,46,0.457,0.465,14,17,0.824,14,31,45,54,11,9,30,40,80,Portland Trail Blazers,totals,0,
17.0,Ibou Badji,21.0,22,1,226,14,22,0.636,0,0,,14,22,0.636,0.636,6,12,0.5,20,31,51,13,3,20,15,46,34,Portland Trail Blazers,totals,0,
18.0,Moses Brown,24.0,22,5,200,33,65,0.508,0,0,,33,65,0.508,0.508,9,31,0.29,37,49,86,7,5,7,11,27,75,Portland Trail Blazers,totals,0,
19.0,Robert Williams,26.0,6,0,119,17,26,0.654,0,0,,17,26,0.654,0.654,7,9,0.778,11,27,38,5,7,7,7,17,41,Portland Trail Blazers,totals,0,
20.0,Jamaree Bouyea,24.0,6,0,57,5,21,0.238,0,8,0.0,5,13,0.385,0.238,0,0,,2,8,10,8,0,0,8,3,10,Portland Trail Blazers,totals,0,
21.0,Ish Wainright,29.0,7,0,46,6,18,0.333,6,16,0.375,0,2,0.0,0.5,2,2,1.0,0,9,9,0,2,1,1,4,20,Portland Trail Blazers,totals,0,
22.0,Taze Moore,25.0,4,0,40,8,19,0.421,1,7,0.143,7,12,0.583,0.447,1,2,0.5,4,4,8,5,2,0,3,4,18,Portland Trail Blazers,totals,0,
,Team Totals,,82,82,19879,3227,7356,0.439,939,2723,0.345,2288,4633,0.494,0.503,1329,1680,0.791,1036,2469,3505,1894,627,354,1182,1654,8722,Portland Trail Blazers,totals,0,
