nba_player_id,first_name,last_name,full_name,team_id,team_abbr,position,bio,headshot_url,active
76090,Cedric,Ball,Cedric Ball,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76090.png,False
1630163,LaMelo,Ball,LaMelo Ball,1610612766,CHA,,,https://cdn.nba.com/headshots/nba/latest/260x190/1630163.png,True
1628366,Lonzo,Ball,Lonzo Ball,1610612741,CHI,,,https://cdn.nba.com/headshots/nba/latest/260x190/1628366.png,True
76091,Greg,Ballard,Greg Ballard,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76091.png,False
76092,Herschel,Baltimore,Herschel Baltimore,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76092.png,False
1628964,Mo,Bamba,Mo Bamba,1610612755,PHI,,,https://cdn.nba.com/headshots/nba/latest/260x190/1628964.png,True
1631094,Paolo,Banchero,Paolo Banchero,1610612753,ORL,,,https://cdn.nba.com/headshots/nba/latest/260x190/1631094.png,True
1630217,Desmond,Bane,Desmond Bane,1610612763,MEM,,,https://cdn.nba.com/headshots/nba/latest/260x190/1630217.png,True
76093,Gene,Banks,Gene Banks,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76093.png,False
2556,Marcus,Banks,Marcus Banks,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/2556.png,False
76094,Ken,Bannister,Ken Bannister,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76094.png,False
76095,Mike,Bantom,Mike Bantom,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76095.png,False
1630625,Dalano,Banton,Dalano Banton,1610612757,POR,,,https://cdn.nba.com/headshots/nba/latest/260x190/1630625.png,True
1627760,Cat,Barber,Cat Barber,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/1627760.png,False
76096,John,Barber,John Barber,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76096.png,False
2571,Leandro,Barbosa,Leandro Barbosa,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/2571.png,False
76097,Stephen,Bardo,Stephen Bardo,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76097.png,False
200826,J.J.,Barea,J.J. Barea,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/200826.png,False
200745,Andrea,Bargnani,Andrea Bargnani,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/200745.png,False
76098,Cliff,Barker,Cliff Barker,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76098.png,False
76099,Tom,Barker,Tom Barker,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76099.png,False
787,Charles,Barkley,Charles Barkley,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/787.png,False
2057,Erick,Barkley,Erick Barkley,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/2057.png,False
76102,Don,Barksdale,Don Barksdale,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76102.png,False
1631230,Dominick,Barlow,Dominick Barlow,1610612759,SAS,,,https://cdn.nba.com/headshots/nba/latest/260x190/1631230.png,True
203084,Harrison,Barnes,Harrison Barnes,1610612758,SAC,,,https://cdn.nba.com/headshots/nba/latest/260x190/203084.png,True
76103,Harry,Barnes,Harry Barnes,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76103.png,False
76105,Jim,Barnes,Jim Barnes,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76105.png,False
76104,Marvin,Barnes,Marvin Barnes,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76104.png,False
2440,Matt,Barnes,Matt Barnes,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/2440.png,False
1630567,Scottie,Barnes,Scottie Barnes,1610612761,TOR,,,https://cdn.nba.com/headshots/nba/latest/260x190/1630567.png,True
76107,Dick,Barnett,Dick Barnett,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76107.png,False
76106,Jim,Barnett,Jim Barnett,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76106.png,False
76108,John,Barnhill,John Barnhill,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76108.png,False
76109,Norton,Barnhill,Norton Barnhill,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76109.png,False
1642964,Brooks,Barnhizer,Brooks Barnhizer,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/1642964.png,False
76110,Leo,Barnhorst,Leo Barnhorst,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76110.png,False
76111,John,Barr,John Barr,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76111.png,False
76112,Mike,Barr,Mike Barr,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76112.png,False
76113,Thomas,Barr,Thomas Barr,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76113.png,False
2857,Andre,Barrett,Andre Barrett,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/2857.png,False
76114,Ernie,Barrett,Ernie Barrett,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76114.png,False
1629628,RJ,Barrett,RJ Barrett,1610612761,TOR,,,https://cdn.nba.com/headshots/nba/latest/260x190/1629628.png,True
2853,Earl,Barron,Earl Barron,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/2853.png,False
344,Dana,Barros,Dana Barros,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/344.png,False
699,Brent,Barry,Brent Barry,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/699.png,False
1003,Drew,Barry,Drew Barry,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/1003.png,False
468,Jon,Barry,Jon Barry,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/468.png,False
600013,Rick,Barry,Rick Barry,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/600013.png,False
76117,Ed,Bartels,Ed Bartels,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76117.png,False
76118,Vic,Bartolome,Vic Bartolome,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76118.png,False
203115,Will,Barton,Will Barton,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/203115.png,False
101188,Eddie,Basden,Eddie Basden,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/101188.png,False
76119,Jerry,Baskerville,Jerry Baskerville,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76119.png,False
101138,Brandon,Bass,Brandon Bass,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/101138.png,False
1628238,Paris,Bass,Paris Bass,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/1628238.png,False
76120,Tim,Bassett,Tim Bassett,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76120.png,False
1629646,Charles,Bassey,Charles Bassey,1610612759,SAS,,,https://cdn.nba.com/headshots/nba/latest/260x190/1629646.png,True
1766,Maceo,Baston,Maceo Baston,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/1766.png,False
2370,Mengke,Bateer,Mengke Bateer,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/2370.png,False
76121,Billyray,Bates,Billyray Bates,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76121.png,False
1641734,Emoni,Bates,Emoni Bates,1610612739,CLE,,,https://cdn.nba.com/headshots/nba/latest/260x190/1641734.png,True
1642926,Tamar,Bates,Tamar Bates,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/1642926.png,False
1628966,Keita,Bates-Diop,Keita Bates-Diop,1610612751,BKN,,,https://cdn.nba.com/headshots/nba/latest/260x190/1628966.png,True
101212,Esteban,Batista,Esteban Batista,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/101212.png,False
2471,Mike,Batiste,Mike Batiste,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/2471.png,False
1499,Tony,Battie,Tony Battie,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/1499.png,False
2203,Shane,Battier,Shane Battier,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/2203.png,False
1642419,Jamison,Battle,Jamison Battle,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/1642419.png,False
174,John,Battle,John Battle,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/174.png,False
76123,Kenny,Battle,Kenny Battle,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76123.png,False
76124,Dave,Batton,Dave Batton,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76124.png,False
201587,Nicolas,Batum,Nicolas Batum,1610612755,PHI,,,https://cdn.nba.com/headshots/nba/latest/260x190/201587.png,True
1641878,Damion,Baugh,Damion Baugh,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/1641878.png,False
76125,Johnny,Baum,Johnny Baum,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76125.png,False
76126,Frankie,Baumholtz,Frankie Baumholtz,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76126.png,False
2437,Lonny,Baxter,Lonny Baxter,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/2437.png,False
201573,Jerryd,Bayless,Jerryd Bayless,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/201573.png,False
76127,Elgin,Baylor,Elgin Baylor,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76127.png,False
203382,Aron,Baynes,Aron Baynes,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/203382.png,False
76128,Sergei,Bazarevich,Sergei Bazarevich,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/76128.png,False
203145,Kent,Bazemore,Kent Bazemore,0,,,,https://cdn.nba.com/headshots/nba/latest/260x190/203145.png,False
1629647,Darius,Bazley,Darius Bazley,1610612762,UTA,,,https://cdn.nba.com/headshots/nba/latest/260x190/1629647.png,True
